"date"	"dateTime"	"Hmsec"	"ID"	"Event"	"Channel"	"Dur"	"Clks"	"Freq"	"Edges"	"Reps"	"Type"	"TagID_hex"	"feeder"	"dateRinged"	"timeRinged"	"btoRingType"	"btoID"	"species"	"pitTYPE"	"age"	"sex"	"wing"	"weight"	"timeSincePreviousVisit"
2022-02-04	2022-02-04 14:21:48	419	"c1931 "	15601	0	129918	32	124672	412	2	1	"01103FAD65"	"F02"	"28/10/2020"	"12:30"	"R"	"AKL0830"	"BT"	"R"	3	""	64	10.9	"firstVisit"
2022-02-04	2022-02-04 15:04:26	510	"c1931 "	15601	0	118876	26	124928	136	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"7259"
2022-02-04	2022-02-04 15:04:29	747	"c1931 "	15601	0	124877	33	124416	510	2	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"3"
2022-02-04	2022-02-04 15:04:33	535	"c1931 "	15601	0	116876	27	124928	244	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"4"
2022-02-04	2022-02-04 15:05:21	46	"c1931 "	15601	0	116875	64	124672	1162	7	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"46"
2022-02-04	2022-02-04 16:10:53	518	"c1931 "	15601	0	127946	38	124672	424	3	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"3866"
2022-02-04	2022-02-04 16:10:58	534	"c1931 "	15601	0	2873	111	124416	2937	15	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"5"
2022-02-04	2022-02-04 16:11:20	1020	"c1931 "	15601	0	129945	32	124160	470	2	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"22"
2022-02-04	2022-02-04 16:11:28	772	"c1931 "	15601	0	122876	27	124672	414	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"8"
2022-02-04	2022-02-04 16:11:37	622	"c1931 "	15601	0	127946	94	124416	3074	12	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"7"
2022-02-04	2022-02-04 16:11:58	522	"c1931 "	15601	0	4874	33	124672	358	2	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"21"
2022-02-04	2022-02-04 16:12:03	547	"c1931 "	15601	0	129946	76	124160	1430	9	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"5"
2022-02-04	2022-02-04 16:12:25	468	"c1931 "	15601	0	4873	47	124672	854	4	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"9"
2022-02-04	2022-02-04 16:12:32	547	"c1931 "	15601	0	121945	41	124672	408	3	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"7"
2022-02-04	2022-02-04 16:12:36	896	"c1931 "	15601	0	2872	191	124672	3808	28	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"4"
2022-02-04	2022-02-04 16:13:19	220	"c1931 "	15601	0	123943	29	124672	230	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"43"
2022-02-05	2022-02-05 08:01:44	522	"c1931 "	15602	0	9940	74	124416	1387	9	1	"01103F7DB1"	"F02"	"03/10/2021"	"10:30"	"R"	"AAJ5894"	"GT"	"R"	3	"F"	73	16.3	"firstVisit"
2022-02-05	2022-02-05 08:11:02	298	"c1931 "	15603	0	7942	27	124416	158	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"firstVisit"
2022-02-05	2022-02-05 08:11:26	23	"c1931 "	15603	0	15941	45	124416	544	4	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"7"
2022-02-05	2022-02-05 08:11:33	372	"c1931 "	15603	0	15941	52	124416	935	5	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"7"
2022-02-05	2022-02-05 09:14:10	399	"c1931 "	15605	0	125943	26	123904	240	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"3757"
2022-02-05	2022-02-05 09:14:36	994	"c1935 "	157	0	68629	27	126208	134	1	1	"01103FA9CB"	"F01"	"19/09/2021"	"09:45"	"N"	"AAJ5896"	"BT"	"N"	3	""	62	9.9	"firstVisit"
2022-02-05	2022-02-05 09:15:00	571	"c1931 "	15605	0	127943	27	124160	136	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"50"
2022-02-05	2022-02-05 09:16:06	298	"c1931 "	15605	0	7942	28	124672	190	1	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"63"
2022-02-05	2022-02-05 09:18:15	390	"c1937 "	2753	0	35770	27	0	618	1	1	"01103FE3B3"	"F03"	"07/11/2021"	"12:15"	"R"	"AJT8118"	"GT"	"R"	3	"F"	72	18.1	"firstVisit"
2022-02-05	2022-02-05 09:19:01	219	"c1931 "	15605	0	130582	27	124672	130	1	1	"01103FE3B3"	"F02"	"07/11/2021"	"12:15"	"R"	"AJT8118"	"GT"	"R"	3	"F"	72	18.1	"firstVisit"
2022-02-05	2022-02-05 09:19:28	525	"c1931 "	15605	0	17909	33	124928	272	2	1	"01103F3BED"	"F02"	"17/10/2021"	"10:09"	"R"	"AAJ5895"	"GT"	"R"	3	"M"	75	18.5	"202"
2022-02-05	2022-02-05 10:02:24	572	"c1931 "	15605	0	121944	26	124672	136	1	1	"01103F6817"	"F02"	"20/09/2022"	"12:27"	"R"	"AKL0859"	"GT"	"R"	4	"M"	78	18.9	"firstVisit"
2022-02-05	2022-02-05 10:02:28	297	"c1931 "	15605	0	127944	38	124672	595	3	1	"01103F6817"	"F02"	"20/09/2022"	"12:27"	"R"	"AKL0859"	"GT"	"R"	4	"M"	78	18.9	"3"
2022-02-05	2022-02-05 10:02:33	896	"c1931 "	15605	0	121944	27	124672	136	1	1	"01103F6817"	"F02"	"20/09/2022"	"12:27"	"R"	"AKL0859"	"GT"	"R"	4	"M"	78	18.9	"5"
2022-02-05	2022-02-05 10:02:39	543	"c1935 "	158	0	126996	32	126208	605	2	1	"01103F6817"	"F01"	"20/09/2022"	"12:27"	"R"	"AKL0859"	"GT"	"R"	4	"M"	78	18.9	"firstVisit"
2022-02-05	2022-02-05 10:03:01	379	"c1937 "	2754	0	10874	27	0	136	1	1	"01103F6817"	"F03"	"20/09/2022"	"12:27"	"R"	"AKL0859"	"GT"	"R"	4	"M"	78	18.9	"firstVisit"
