"Date"	"Hmsec"	"CounterID"	"RFID"	"BtwVisitInterval"	"WtnVisitInterval"
2019-05-01 11:01:33	"1147 "	"c1254 "	"04194821CD"	55	239
2019-05-01 11:01:39	" 701 "	"c1254 "	"04194821CD"	6	6
2019-05-01 11:04:35	"1014 "	"c1254 "	"04194821CD"	175	176
2019-05-01 11:04:41	"1070 "	"c1254 "	"04194821CD"	6	6
2019-05-01 11:05:29	" 579 "	"c1254 "	"04194821CD"	48	48
2019-05-01 11:05:47	"1064 "	"c1254 "	"04194821CD"	18	18
2019-05-01 11:11:39	" 451 "	"c1254 "	"04194821CD"	82	352
2019-05-01 11:11:51	" 197 "	"c1254 "	"04194821CD"	12	12
2019-05-01 11:13:35	" 109 "	"c1254 "	"04194821CD"	104	104
2019-05-01 11:14:07	"1069 "	"c1254 "	"04194821CD"	32	32
2019-05-01 11:21:43	" 344 "	"c1254 "	"04194821CD"	10	456
2019-05-01 11:21:52	" 701 "	"c1254 "	"04194821CD"	9	9
2019-05-01 11:23:59	" 396 "	"c1254 "	"04194821CD"	127	127
2019-05-01 11:24:08	"  44 "	"c1254 "	"04194821CD"	9	9
2019-05-01 11:27:23	" 219 "	"c1254 "	"04194821CD"	18	195
2019-05-01 11:27:29	" 799 "	"c1254 "	"04194821CD"	6	6
2019-05-01 11:28:47	"1082 "	"c1254 "	"04194821CD"	78	78
2019-05-01 11:29:01	" 370 "	"c1254 "	"04194821CD"	14	14
2019-05-01 11:30:29	" 646 "	"c1254 "	"04194821CD"	88	88
2019-05-01 11:30:36	"  13 "	"c1254 "	"04194821CD"	7	7
2019-05-01 11:36:35	" 120 "	"c1254 "	"04194821CD"	5	359
2019-05-01 11:36:42	" 984 "	"c1254 "	"04194821CD"	7	7
2019-05-01 11:37:28	" 431 "	"c1254 "	"04194821CD"	46	46
2019-05-01 11:37:35	"1012 "	"c1254 "	"04194821CD"	7	7
2019-05-01 11:38:44	" 407 "	"c1254 "	"04194821CD"	69	69
2019-05-01 11:38:54	" 823 "	"c1254 "	"04194821CD"	10	10
2019-05-01 11:39:28	" 602 "	"c1254 "	"04194821CD"	34	34
2019-05-01 11:39:38	" 371 "	"c1254 "	"04194821CD"	10	10
