F 	Date            	Hmsec 	ID   	Event 	Old 	New 	Strain 	~Weight
D 	2022-02-07 10:48:47	 457 	c1937 	 2884 	u   	d    	376402 	  304
D 	2022-02-07 10:48:47	 505 	c1937 	 2884 	u   	d    	376402 	  304
D 	2022-02-07 10:48:47	 555 	c1937 	 2884 	u   	d    	376402 	  304
D 	2022-02-07 10:48:47	 605 	c1937 	 2884 	u   	d    	376402 	  304
D 	2022-02-07 10:48:48	  33 	c1937 	 2884 	d   	u    	188375 	 -159
D 	2022-02-07 10:48:50	 735 	c1937 	 2885 	u   	d    	298201 	  111
D 	2022-02-07 10:48:50	 783 	c1937 	 2885 	u   	d    	298201 	  111
D 	2022-02-07 10:48:50	 833 	c1937 	 2885 	u   	d    	298201 	  111
D 	2022-02-07 10:48:50	 883 	c1937 	 2885 	u   	d    	298201 	  111
D 	2022-02-07 10:48:51	 861 	c1937 	 2885 	d   	u    	235309 	  -43
D 	2022-02-07 10:50:16	 837 	c1937 	 2886 	u   	d    	371883 	  293
D 	2022-02-07 10:50:16	 885 	c1937 	 2886 	u   	d    	371883 	  293
D 	2022-02-07 10:50:16	 935 	c1937 	 2886 	u   	d    	371883 	  293
D 	2022-02-07 10:50:16	 985 	c1937 	 2886 	u   	d    	371883 	  293
D 	2022-02-07 10:50:17	 113 	c1937 	 2886 	d   	u    	216045 	  -91
D 	2022-02-07 10:50:25	 806 	c1937 	 2887 	u   	d    	714603 	 1140
D 	2022-02-07 10:50:25	 855 	c1937 	 2887 	u   	d    	714603 	 1140
D 	2022-02-07 10:50:25	 905 	c1937 	 2887 	u   	d    	714603 	 1140
D 	2022-02-07 10:50:25	 955 	c1937 	 2887 	u   	d    	714603 	 1140
D 	2022-02-07 10:50:26	  82 	c1937 	 2887 	d   	u    	158485 	 -233
D 	2022-02-07 10:50:35	 858 	c1937 	 2888 	u   	d    	331691 	  194
D 	2022-02-07 10:50:35	 907 	c1937 	 2888 	u   	d    	331691 	  194
D 	2022-02-07 10:50:35	 957 	c1937 	 2888 	u   	d    	331691 	  194
D 	2022-02-07 10:50:35	1007 	c1937 	 2888 	u   	d    	331691 	  194
D 	2022-02-07 10:50:36	  34 	c1937 	 2888 	d   	u    	261799 	   21
D 	2022-02-07 10:50:36	 584 	c1937 	 2889 	u   	d    	299076 	  113
D 	2022-02-07 10:50:36	 633 	c1937 	 2889 	u   	d    	299076 	  113
D 	2022-02-07 10:50:36	 683 	c1937 	 2889 	u   	d    	299076 	  113
D 	2022-02-07 10:50:36	 733 	c1937 	 2889 	u   	d    	299076 	  113
D 	2022-02-07 10:50:37	 467 	c1937 	 2889 	d   	u    	249325 	   -9
D 	2022-02-07 10:50:38	 491 	c1937 	 2890 	u   	d    	367574 	  282
D 	2022-02-07 10:50:38	 540 	c1937 	 2890 	u   	d    	367574 	  282
D 	2022-02-07 10:50:38	 590 	c1937 	 2890 	u   	d    	367574 	  282
D 	2022-02-07 10:50:38	 640 	c1937 	 2890 	u   	d    	367574 	  282
D 	2022-02-07 10:50:39	 365 	c1937 	 2890 	d   	u    	242884 	  -25
T 	2022-02-07 10:50:39	 698 	c1937 	 2890 
S
D 	2022-02-07 10:52:54	 932 	c1937 	 2891 	u   	d    	286474 	   82
